Percentage served,Time in ms
0,2.633
1,2.633
2,2.633
3,2.633
4,2.633
5,28.552
6,28.552
7,28.552
8,28.552
9,28.552
10,28.552
11,28.552
12,28.552
13,28.552
14,28.552
15,30.362
16,30.362
17,30.362
18,30.362
19,30.362
20,30.362
21,30.362
22,30.362
23,30.362
24,30.362
25,33.716
26,33.716
27,33.716
28,33.716
29,33.716
30,33.716
31,33.716
32,33.716
33,33.716
34,33.716
35,39.742
36,39.742
37,39.742
38,39.742
39,39.742
40,39.742
41,39.742
42,39.742
43,39.742
44,39.742
45,41.472
46,41.472
47,41.472
48,41.472
49,41.472
50,41.472
51,41.472
52,41.472
53,41.472
54,41.472
55,41.508
56,41.508
57,41.508
58,41.508
59,41.508
60,41.508
61,41.508
62,41.508
63,41.508
64,41.508
65,46.373
66,46.373
67,46.373
68,46.373
69,46.373
70,46.373
71,46.373
72,46.373
73,46.373
74,46.373
75,48.629
76,48.629
77,48.629
78,48.629
79,48.629
80,48.629
81,48.629
82,48.629
83,48.629
84,48.629
85,51.366
86,51.366
87,51.366
88,51.366
89,51.366
90,51.366
91,51.366
92,51.366
93,51.366
94,51.366
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,51.366
